Time,States,Probability
06:21:32,NormalEngaged, 78.0%
06:21:32,VeryEngaged, 69.0%
06:21:32,NormalEngaged, 64.0%
06:21:32,NormalEngaged, 58.0%
06:21:33,VeryEngaged, 57.0%
06:21:33,VeryEngaged, 54.0%
06:21:33,VeryEngaged, 55.0%
06:21:34,VeryEngaged, 63.0%
06:21:34,VeryEngaged, 63.0%
06:21:34,NormalEngaged, 64.0%
06:21:34,NormalEngaged, 60.0%
06:21:35,VeryEngaged, 55.0%
06:21:35,VeryEngaged, 61.0%
06:21:35,NormalEngaged, 57.0%
